2009-12-29 14:21:13 Debug: Notice (8): Undefined offset:  5 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 277]
2009-12-29 14:21:13 Debug: Notice (8): Undefined offset:  7 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 279]
2009-12-29 14:21:13 Debug: Notice (8): Undefined offset:  4 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 254]
2009-12-29 14:21:13 Debug: Notice (8): Undefined offset:  5 in [Z:\www\app\plugins\core\controllers\components\cron.php, line 258]
2009-12-29 14:21:50 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 14:21:51 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 14:22:44 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 14:22:44 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 14:23:00 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:23:00 Debug: Notice (8): Undefined variable: layout in [Z:\www\app\plugins\installer\views\layouts\installer.ctp, line 27]
2009-12-29 14:23:03 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:23:04 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:23:04 Debug: Notice (8): Undefined variable: layout in [Z:\www\app\plugins\installer\views\layouts\installer.ctp, line 27]
2009-12-29 14:23:04 Debug: Notice (8): Undefined variable: layout in [Z:\www\app\plugins\installer\views\layouts\installer.ctp, line 27]
2009-12-29 14:23:04 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:23:04 Debug: Notice (8): Undefined variable: layout in [Z:\www\app\plugins\installer\views\layouts\installer.ctp, line 27]
2009-12-29 14:24:05 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:24:05 Debug: Notice (8): Undefined variable: layout in [Z:\www\app\plugins\installer\views\layouts\installer.ctp, line 29]
2009-12-29 14:24:08 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:24:08 Debug: Notice (8): Undefined variable: layout in [Z:\www\app\plugins\installer\views\layouts\installer.ctp, line 29]
2009-12-29 14:24:10 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:24:10 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:24:10 Debug: Notice (8): Undefined variable: layout in [Z:\www\app\plugins\installer\views\layouts\installer.ctp, line 29]
2009-12-29 14:24:10 Debug: Notice (8): Undefined variable: layout in [Z:\www\app\plugins\installer\views\layouts\installer.ctp, line 29]
2009-12-29 14:25:09 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:25:10 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:25:11 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:25:11 Debug: Notice (8): Undefined property: View::$pageTitle in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:25:52 Debug: Notice (8): Undefined property: View::$title_for_layout in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:25:53 Debug: Notice (8): Undefined property: View::$title_for_layout in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:25:54 Debug: Notice (8): Undefined property: View::$title_for_layout in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 14:25:54 Debug: Notice (8): Undefined property: View::$title_for_layout in [Z:\www\app\plugins\installer\views\install\index.ctp, line 2]
2009-12-29 15:09:06 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:09:06 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:09:07 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:09:07 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:09:07 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:09:07 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:10:23 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:10:23 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:10:24 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:10:24 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:10:25 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:10:25 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:10:55 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:10:56 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:10:56 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:10:56 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
2009-12-29 15:10:58 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 402]
2009-12-29 15:10:58 Debug: Notice (8): Use of undefined constant CRON_INTERVAL - assumed 'CRON_INTERVAL' in [Z:\www\app\plugins\core\controllers\components\cron.php, line 405]
